place_name,city,category,description,latitude,longitude,top_activities,hotels
Pyramids of Giza,Giza,Historical,"An iconic ancient site evoking awe, mystery, and timeless grandeur.",29.9792,31.1342,Camel rides; Pyramid interior tours; Sound and light show,Marriott Mena House; Steigenberger Pyramids
Khan El Khalili,Cairo,Market,"A vibrant traditional bazaar full of color, energy, and cultural charm.",30.047,31.2623,Shopping for souvenirs; Drinking tea at El Fishawy; Photography,Le Riad Hotel de Charme; Kempinski Nile Hotel
Siwa Oasis,Siwa,Nature,"A tranquil desert oasis offering peace, isolation, and spiritual calm.",29.2032,25.5195,Salt lake swimming; Dune bashing; Watching sunset,Adrère Amellal; Siwa Shali Resort
Bibliotheca Alexandrina,Alexandria,Cultural,"A modern cultural landmark inspiring curiosity, knowledge, and creativity.",31.2089,29.9092,Reading; Museum tours; Planetarium shows,Steigenberger Cecil; Four Seasons Alexandria
Mount Sinai,Saint Catherine,Religious,"A sacred mountain associated with reflection, faith, and spiritual depth.",28.5393,33.9749,Hiking at sunrise; Visiting the monastery; Meditation,Morgenland Village; Catherine Plaza Hotel
Aswan Nile Cruise,Aswan,Relaxation,"A slow scenic journey offering serenity, romance, and reflection.",24.0889,32.8998,Sailing; Nubian village visit; Temple stops,Sofitel Legend Old Cataract; Movenpick Aswan
White Desert,Farafra,Nature,"A surreal landscape creating feelings of wonder, solitude, and adventure.",27.3317,28.2145,Camping; Stargazing; Jeep safari,Qasr El Bawity; Desert Stars Camp
Luxor Temple,Luxor,Historical,"A majestic temple radiating ancient power, mystery, and reverence.",25.6995,32.6396,Night tour; Walking through history; Photography,Hilton Luxor Resort; Sofitel Winter Palace
El Gouna,Red Sea,Resort,"A luxurious coastal town offering relaxation, fun, and vibrant nightlife.",27.3949,33.6782,Kitesurfing; Boat trips; Fine dining,Cook's Club; Steigenberger Golf Resort
Valley of the Kings,Luxor,Historical,"A hidden valley of tombs evoking mystery, silence, and the afterlife.",25.7402,32.6014,Exploring tombs; Learning history; Balloon ride nearby,Al Moudira Hotel; Pavillon Winter Luxor
Dahab Blue Hole,Dahab,Adventure,"A world-famous diving spot evoking thrill, depth, and underwater beauty.",28.5723,34.5371,Scuba diving; Snorkeling; Freediving,Le Meridien Dahab; Swiss Inn Resort
Cairo Citadel,Cairo,Historical,"A medieval fortress offering commanding views, power, and history.",30.0299,31.2611,Mosque visits; City views; Military museum,Grand Nile Tower; Fairmont Nile City
